state,input
"[-13.433,-418.675,52.353,-126.442]","[0.000]"
"[-14.108,-256.169,52.144,-81.566]","[0.000]"
"[-14.461,-96.996,52.031,-30.905]","[0.000]"
"[-14.501,56.589,52.019,19.855]","[0.000]"
"[-14.243,201.982,52.106,66.447]","[0.000]"
"[-13.704,336.870,52.279,105.908]","[0.000]"
"[-12.909,459.306,52.520,134.195]","[0.000]"
"[-11.883,566.623,52.808,151.830]","[0.000]"
"[-10.659,657.409,53.116,155.762]","[0.000]"
"[-9.273,729.042,53.423,149.987]","[0.000]"
"[-7.763,780.945,53.706,132.405]","[0.000]"
"[-6.171,811.340,53.949,109.662]","[0.000]"
"[-4.539,820.815,54.139,80.006]","[0.000]"
"[-2.909,809.096,54.270,51.236]","[0.000]"
"[-1.322,777.920,54.342,21.265]","[0.000]"
"[0.185,728.634,54.359,-3.054]","[0.000]"
"[1.577,663.710,54.331,-23.955]","[0.000]"
"[6.294,-98.584,53.926,14.222]","[0.000]"
"[6.008,-186.996,53.965,24.403]","[0.000]"
"[5.555,-266.921,54.023,33.156]","[0.000]"
"[4.950,-337.290,54.093,35.984]","[0.000]"
"[4.217,-396.374,54.166,37.189]","[0.000]"
"[3.377,-443.689,54.236,31.947]","[0.000]"
"[2.455,-478.075,54.294,26.246]","[0.000]"
"[1.477,-499.604,54.336,15.329]","[0.000]"
"[0.469,-507.955,54.358,5.874]","[0.000]"
"[-0.542,-503.691,54.356,-6.957]","[0.000]"
"[-1.534,-487.416,54.334,-15.817]","[0.000]"
"[-2.481,-460.095,54.292,-25.520]","[0.000]"
"[-3.364,-423.087,54.235,-30.669]","[0.000]"
"[-4.165,-377.637,54.170,-34.562]","[0.000]"
"[-4.868,-325.487,54.100,-34.438]","[0.000]"
"[-5.462,-268.112,54.034,-31.854]","[0.000]"
"[-5.938,-207.204,53.974,-26.988]","[0.000]"
"[-6.289,-144.446,53.928,-19.373]","[0.000]"
"[-6.515,-81.160,53.896,-11.891]","[0.000]"
"[-6.615,-19.206,53.882,-2.000]","[0.000]"
"[-6.594,40.613,53.886,5.343]","[0.000]"
"[-6.457,96.352,53.906,14.546]","[0.000]"
"[-6.213,147.716,53.940,19.388]","[0.000]"
"[-5.873,192.849,53.985,25.686]","[0.000]"
"[-5.448,231.871,54.038,26.797]","[0.000]"
"[-4.954,263.233,54.094,29.259]","[0.000]"
"[-4.403,287.358,54.150,26.790]","[0.000]"
"[-3.813,303.212,54.203,25.788]","[0.000]"
"[-3.198,311.419,54.249,21.019]","[0.000]"
"[-2.575,311.578,54.288,17.823]","[0.000]"
"[-3.335,-72.234,54.239,-4.372]","[0.000]"
"[-3.456,-48.069,54.230,-4.446]","[0.000]"
"[-3.528,-24.167,54.224,-0.955]","[0.000]"
"[-3.553,-0.521,54.223,-0.837]","[0.000]"
"[-3.532,21.753,54.224,2.482]","[0.000]"
"[-3.467,42.755,54.229,2.563]","[0.000]"
"[-3.363,61.520,54.237,5.114]","[0.000]"
"[-3.223,78.183,54.247,5.038]","[0.000]"
"[-3.053,92.041,54.259,6.449]","[0.000]"
