epoch,train_MSE,val_MSE
203,2.3087832232704386e-05,3.1724030122859403e-05
204,2.0639798094634898e-05,1.8079595974995755e-05
205,5.77279606659431e-05,0.00014675695274490863
206,3.894577457685955e-05,1.8261167497257702e-05
207,1.9590966985560954e-05,1.6345093172276393e-05
208,3.7974117731209844e-05,9.69601096585393e-05
209,3.778872996917926e-05,3.123737405985594e-05
210,2.4248791305581108e-05,3.8265727198449895e-05
211,1.943397546710912e-05,2.2280974008026533e-05
212,3.1286614103009924e-05,2.6420071662869304e-05
213,6.860727444291115e-05,7.039954653009772e-05
214,3.300685420981608e-05,1.49797733683954e-05
215,1.574826455907896e-05,1.428820178261958e-05
216,1.680229433986824e-05,1.4138696315058041e-05
217,4.2473970097489655e-05,9.270703594665974e-05
218,3.6255329177947715e-05,2.564214628364425e-05
219,1.640411574044265e-05,2.0864916223217733e-05
220,2.3641025109100156e-05,3.0123213946353644e-05
221,6.189307168824598e-05,2.9395707315416075e-05
222,2.654873242136091e-05,2.841747846105136e-05
223,1.9288620023871772e-05,2.2109414203441702e-05
224,2.496059278200846e-05,3.744615605683066e-05
225,4.533304672804661e-05,4.931015791953541e-05
226,2.831851816154085e-05,2.6528876333031803e-05
227,2.0928640878992155e-05,1.8666096366359852e-05
228,2.3321463231695816e-05,4.811072358279489e-05
229,5.0844384531956166e-05,4.9860278522828594e-05
230,1.9775572582148015e-05,1.3459382898872718e-05
231,1.860929114627652e-05,1.4916688087396324e-05
232,2.3759777832310647e-05,1.98303005163325e-05
233,4.030547643196769e-05,1.621603405510541e-05
234,1.567567596794106e-05,3.0003124265931547e-05
235,4.3060594180133194e-05,1.920814065670129e-05
236,1.457051530451281e-05,1.8986451323144138e-05
237,3.435401231399737e-05,1.3312819646671414e-05
238,2.0351122657302767e-05,5.3123516408959404e-05
239,5.470458563650027e-05,4.5242515625432134e-05
240,1.9312963559059426e-05,2.1386345906648785e-05
241,1.4599107089452446e-05,1.1299126526864711e-05
242,2.7181109544471838e-05,7.422357884934172e-05
243,4.5450924517354e-05,2.7593014237936586e-05
244,2.021008185693063e-05,2.4075830879155546e-05
245,1.3533974197343923e-05,1.143661211244762e-05
246,2.593674071249552e-05,6.942202162463218e-05
247,4.759510193252936e-05,2.9803848519804887e-05
248,1.968093420146033e-05,2.0504519852693193e-05
249,1.1960979463765398e-05,1.0287449185852893e-05
250,2.179841794713866e-05,5.3676012612413615e-05
251,5.3356594435172155e-05,3.93327500205487e-05
252,1.86804336408386e-05,1.5443411029991694e-05
253,1.1126937351946253e-05,9.654369932832196e-06
254,1.7754462533048354e-05,3.4631560993148014e-05
255,4.444299702299759e-05,3.0298029741970822e-05
256,1.526390951767098e-05,1.1358758456481155e-05
257,1.7183552699862048e-05,2.584800313343294e-05
258,3.46603846992366e-05,1.4232002286007628e-05
259,1.4044835552340373e-05,1.3712127838516608e-05
260,2.7834836146212183e-05,1.1885005733347498e-05
261,1.61015814228449e-05,2.714022048166953e-05
262,4.746758349938318e-05,1.2781828445440624e-05
263,1.3397499060374685e-05,1.3046168533037417e-05
264,1.778655314410571e-05,2.5849825760815293e-05
265,3.776963421842083e-05,2.2779708160669543e-05
266,1.4428530448640231e-05,1.3568503163696732e-05
267,1.9962470105383545e-05,1.817465090425685e-05
268,3.560340337571688e-05,1.5786377844051458e-05
269,1.3634412425744813e-05,1.2341884939814918e-05
270,2.614661570987664e-05,2.493312604201492e-05
271,3.266526618972421e-05,1.7505248251836747e-05
272,1.4333830222312827e-05,1.253125628863927e-05
273,2.704552753129974e-05,3.3889587939484045e-05
274,3.3362710382789373e-05,2.1694442693842575e-05
275,1.4046971955394838e-05,1.2014417734462768e-05
276,2.3246890123118646e-05,2.539180059102364e-05
277,3.565052247722633e-05,1.509579124103766e-05
278,1.2219277778058313e-05,1.2053435057168826e-05
279,2.635362761793658e-05,3.342617128510028e-05
280,2.566369585110806e-05,1.3593731637229212e-05
281,1.5372932466561906e-05,1.7701378965284675e-05
282,3.7251273170113564e-05,2.0025468984385952e-05
283,2.0219775251462124e-05,3.0963154131313786e-05
284,2.1713351088692434e-05,1.9901650375686586e-05
285,2.1581861801678315e-05,1.5115686437638942e-05
286,2.045583642029669e-05,1.0312257472833153e-05
287,1.8585978978080675e-05,2.7873071303474717e-05
288,2.6408146368339658e-05,1.36426133394707e-05
289,1.178880029328866e-05,8.107705070869997e-06
290,3.3930478821275756e-05,3.107481825281866e-05
291,1.5167262972681783e-05,9.020250217872672e-06
292,1.6875073924893513e-05,1.1341815479681827e-05
293,4.0396262193098664e-05,1.614975553820841e-05
294,1.0045808267022949e-05,9.893472451949492e-06
295,1.715105099719949e-05,8.671011528349482e-06
296,2.179261173296254e-05,9.401225725014228e-06
297,1.4144843589747325e-05,8.204820005630609e-06
298,4.45414443674963e-05,2.8842689062003046e-05
299,1.2141043953306507e-05,1.807107764761895e-05
300,1.4473240298684686e-05,1.3463544746628031e-05
301,2.292567296535708e-05,8.915230864658952e-06
302,1.731084739731159e-05,7.3388468990742695e-06
303,1.8140723113901913e-05,1.666318166826386e-05
304,2.1058413040009327e-05,3.9165010093711317e-05
305,3.626241232268512e-05,3.85183775506448e-05
