state,input
"[-2.128,-5.221,53.989,-0.357]","[0.406]"
"[-2.155,-4.256,53.990,-0.055]","[0.406]"
"[-18.900,-4.490,49.513,-3.065]","[2.974]"
"[-18.908,-6.250,49.502,-3.657]","[2.973]"
"[-18.936,-7.339,49.480,-3.348]","[2.973]"
"[-18.990,-7.051,49.448,-1.726]","[2.972]"
"[-19.056,-3.973,49.416,1.488]","[2.971]"
"[-19.114,3.479,49.398,6.538]","[2.970]"
"[-19.147,16.893,49.409,13.670]","[2.969]"
"[-19.130,37.431,49.461,22.967]","[2.953]"
"[-19.027,64.561,49.560,33.876]","[2.927]"
"[-18.796,97.326,49.711,45.679]","[2.838]"
"[-18.396,134.768,49.918,57.661]","[2.686]"
"[-17.793,175.534,50.183,69.085]","[2.591]"
"[-16.990,216.681,50.500,79.134]","[2.373]"
"[-16.000,254.869,50.860,86.969]","[2.258]"
"[-14.834,286.759,51.254,91.750]","[2.032]"
"[-13.513,309.572,51.672,92.855]","[1.823]"
"[-12.094,322.776,52.092,90.519]","[1.717]"
"[-10.641,326.400,52.494,85.197]","[1.511]"
"[-9.219,320.473,52.854,77.339]","[1.401]"
"[-7.886,305.631,53.154,67.467]","[1.192]"
"[-6.661,284.937,53.397,56.376]","[0.988]"
"[-5.555,262.060,53.586,44.929]","[0.883]"
"[-4.579,240.670,53.729,33.991]","[0.677]"
"[-3.733,223.771,53.831,24.279]","[0.575]"
"[-2.976,211.705,53.897,15.931]","[0.368]"
"[-2.255,204.151,53.932,8.939]","[0.164]"
"[-1.518,200.786,53.941,3.295]","[0.059]"
"[-0.726,201.237,53.931,-1.114]","[-0.145]"
"[0.113,204.932,53.906,-4.817]","[-0.257]"
"[0.978,211.251,53.872,-8.446]","[-0.462]"
"[21.892,1.951,48.121,-0.992]","[-3.885]"
"[21.900,1.982,48.117,-0.991]","[-3.885]"
"[21.908,1.983,48.113,-0.973]","[-3.884]"
"[21.916,1.953,48.109,-0.943]","[-3.884]"
"[21.924,1.891,48.106,-0.903]","[-3.883]"
"[21.932,1.795,48.103,-0.857]","[-3.883]"
"[21.939,1.666,48.099,-0.809]","[-3.882]"
"[21.946,1.509,48.095,-0.762]","[-3.881]"
"[21.952,1.333,48.092,-0.718]","[-3.881]"
"[21.957,1.143,48.089,-0.679]","[-3.880]"
"[21.961,0.949,48.087,-0.648]","[-3.880]"
"[21.965,0.769,48.085,-0.632]","[-3.880]"
"[21.967,0.621,48.083,-0.640]","[-3.879]"
"[21.968,0.527,48.081,-0.679]","[-3.878]"
"[21.969,0.498,48.078,-0.751]","[-3.878]"
"[21.971,0.525,48.075,-0.839]","[-3.877]"
"[21.972,0.591,48.072,-0.918]","[-3.877]"
"[21.974,0.679,48.067,-0.964]","[-3.876]"
"[21.977,0.773,48.063,-0.959]","[-3.876]"
"[21.981,0.859,48.058,-0.901]","[-3.876]"
"[21.986,0.924,48.054,-0.794]","[-3.875]"
"[21.990,0.955,48.050,-0.643]","[-3.875]"
"[21.994,0.944,48.048,-0.455]","[-3.874]"
"[21.998,0.901,48.046,-0.251]","[-3.874]"
"[22.002,0.843,48.046,-0.058]","[-3.874]"
"[22.005,0.786,48.047,0.098]","[-3.873]"
"[22.008,0.744,48.048,0.197]","[-3.873]"
"[22.010,0.724,48.050,0.231]","[-3.872]"
"[22.013,0.727,48.052,0.199]","[-3.872]"
"[22.015,0.759,48.053,0.098]","[-3.872]"
"[-3.865,-266.621,53.697,-10.581]","[0.266]"
"[-4.921,-242.232,53.655,-13.554]","[0.373]"
"[-5.807,-217.568,53.607,-17.426]","[0.580]"
"[-6.549,-195.306,53.547,-22.341]","[0.677]"
"[-7.190,-178.076,53.466,-28.403]","[0.887]"
"[-7.770,-168.509,53.355,-35.714]","[0.992]"
"[-8.332,-168.404,53.207,-44.256]","[1.195]"
"[-8.916,-176.249,53.019,-53.521]","[1.387]"
"[-9.563,-189.698,52.788,-62.881]","[1.471]"
"[-10.314,-206.411,52.512,-71.705]","[1.664]"
"[-11.196,-224.045,52.191,-79.427]","[1.866]"
"[-12.189,-240.271,51.835,-85.726]","[1.965]"
"[-13.260,-252.761,51.454,-90.343]","[2.170]"
"[-14.375,-259.188,51.061,-93.018]","[2.269]"
"[-15.501,-257.940,50.666,-93.686]","[2.472]"
"[-16.605,-250.278,50.276,-93.053]","[2.671]"
"[-17.652,-238.181,49.897,-92.022]","[2.772]"
"[-18.608,-223.625,49.536,-91.491]","[2.974]"
"[-19.450,-208.423,49.193,-92.138]","[3.072]"
"[-20.198,-193.722,48.857,-93.741]","[3.276]"
"[-20.882,-180.504,48.509,-95.855]","[3.475]"
"[-21.531,-169.750,48.133,-98.036]","[3.576]"
"[-22.171,-161.997,47.717,-99.789]","[3.780]"
"[-22.804,-156.009,47.276,-100.434]","[3.878]"
"[-23.428,-150.103,46.830,-99.238]","[4.077]"
"[-24.040,-142.598,46.399,-95.473]","[4.251]"
"[-24.634,-132.164,46.000,-88.646]","[4.313]"
"[-25.190,-118.874,45.643,-79.218]","[4.398]"
"[-25.685,-103.151,45.333,-67.885]","[4.419]"
"[-26.094,-85.420,45.078,-55.348]","[4.423]"
"[-16.988,-2.104,50.453,-1.090]","[2.529]"
"[-16.971,-5.210,50.464,-2.673]","[2.528]"
"[-16.973,-8.289,50.464,-3.990]","[2.528]"
"[-17.009,-10.580,50.444,-4.491]","[2.528]"
"[-17.088,-11.165,50.401,-3.671]","[2.527]"
"[-17.190,-8.486,50.348,-1.208]","[2.527]"
"[-17.285,-0.825,50.307,3.174]","[2.526]"
"[-17.347,13.536,50.298,9.750]","[2.526]"
"[-17.345,35.823,50.336,18.608]","[2.525]"
"[-17.242,65.310,50.425,29.078]","[2.524]"
"[-16.999,100.777,50.566,40.304]","[2.518]"
"[-16.576,141.009,50.756,51.429]","[2.470]"
"[-15.942,184.410,50.996,61.621]","[2.426]"
"[-15.100,227.880,51.279,70.157]","[2.289]"
"[-14.060,267.941,51.597,76.340]","[2.092]"
"[-12.835,301.116,51.943,79.473]","[1.981]"
"[-11.444,324.506,52.308,79.070]","[1.759]"
"[-9.950,337.526,52.670,75.491]","[1.652]"
"[-8.425,340.171,53.008,69.310]","[1.437]"
"[-6.940,332.438,53.299,61.098]","[1.226]"
"[-5.558,314.909,53.526,51.460]","[1.122]"
"[-4.299,290.531,53.695,41.125]","[0.917]"
"[-3.175,262.841,53.815,30.854]","[0.812]"
