state,input
"[-9.008,381.334,54.033,82.004]","[0.822]"
"[-8.252,374.693,54.189,74.133]","[0.743]"
"[-7.511,366.221,54.329,65.447]","[0.664]"
"[-6.789,355.768,54.452,57.756]","[0.586]"
"[-6.089,344.156,54.559,49.900]","[0.507]"
"[-5.414,331.422,54.652,42.879]","[0.429]"
"[-4.764,318.226,54.731,36.287]","[0.350]"
"[-4.141,304.741,54.797,30.165]","[0.271]"
"[-3.545,291.450,54.852,24.976]","[0.193]"
"[-2.975,278.592,54.897,19.778]","[0.114]"
"[-2.430,266.560,54.931,14.565]","[0.036]"
"[-1.908,255.356,54.957,11.363]","[-0.043]"
"[-1.407,245.464,54.976,7.420]","[-0.121]"
"[-0.925,236.812,54.988,4.662]","[-0.200]"
"[-0.459,229.700,54.994,1.703]","[-0.279]"
"[-0.005,224.035,54.995,-0.933]","[-0.357]"
"[0.439,219.985,54.991,-3.162]","[-0.436]"
"[0.876,217.399,54.982,-5.942]","[-0.514]"
"[1.310,216.365,54.968,-7.729]","[-0.593]"
"[1.743,216.646,54.950,-10.837]","[-0.671]"
"[2.174,214.996,54.928,-11.000]","[-0.671]"
"[2.597,207.807,54.902,-14.204]","[-0.671]"
"[3.001,196.185,54.875,-13.240]","[-0.671]"
"[3.377,180.368,54.846,-15.243]","[-0.671]"
"[3.719,161.581,54.818,-13.211]","[-0.671]"
"[4.021,140.022,54.791,-13.652]","[-0.671]"
"[4.278,116.935,54.766,-10.879]","[-0.671]"
"[-16.933,-8.160,51.386,-3.283]","[2.308]"
"[-16.952,-10.407,51.378,-4.509]","[2.308]"
"[-16.975,-12.459,51.368,-5.037]","[2.308]"
"[-17.001,-13.836,51.357,-5.918]","[2.308]"
"[-17.030,-15.016,51.345,-6.100]","[2.308]"
"[-17.060,-15.522,51.332,-6.602]","[2.308]"
"[-17.092,-15.845,51.319,-6.471]","[2.308]"
"[-17.123,-15.559,51.306,-6.594]","[2.308]"
"[-17.154,-15.116,51.293,-6.207]","[2.308]"
"[-17.183,-14.177,51.281,-5.985]","[2.308]"
"[-17.211,-13.115,51.270,-5.415]","[2.308]"
"[-17.236,-11.703,51.259,-4.909]","[2.308]"
"[-17.258,-10.203,51.250,-4.240]","[2.308]"
"[-17.276,-8.517,51.242,-3.529]","[2.308]"
"[-17.292,-6.774,51.236,-2.839]","[2.308]"
"[-17.303,-5.008,51.231,-2.012]","[2.308]"
"[-17.312,-3.211,51.228,-1.374]","[2.308]"
"[-17.316,-1.538,51.226,-0.518]","[2.308]"
"[-17.318,0.145,51.225,0.012]","[2.308]"
"[-17.316,1.584,51.226,0.818]","[2.308]"
"[-17.312,3.019,51.228,1.201]","[2.308]"
"[-17.305,4.126,51.231,1.892]","[2.308]"
"[-17.295,5.219,51.235,2.112]","[2.308]"
"[-17.284,5.938,51.240,2.643]","[2.308]"
"[-17.272,6.639,51.245,2.701]","[2.308]"
"[-17.258,6.959,51.251,3.047]","[2.308]"
"[-17.244,7.260,51.257,2.961]","[2.308]"
"[-17.229,7.208,51.263,3.116]","[2.308]"
"[-17.215,7.137,51.269,2.916]","[2.308]"
"[-17.201,6.769,51.275,2.893]","[2.308]"
"[-17.188,6.385,51.280,2.615]","[2.308]"
"[-17.176,5.780,51.285,2.438]","[2.308]"
"[-17.165,5.161,51.290,2.123]","[2.308]"
"[-17.156,4.408,51.294,1.828]","[2.308]"
"[-17.148,3.640,51.297,1.510]","[2.308]"
"[-17.141,2.829,51.300,1.138]","[2.308]"
"[-17.136,2.005,51.302,0.850]","[2.308]"
"[-17.133,1.218,51.303,0.444]","[2.308]"
"[-17.132,0.418,51.304,0.207]","[2.308]"
"[-17.132,-0.276,51.304,-0.193]","[2.308]"
"[-19.129,1.103,50.325,0.480]","[2.629]"
"[-19.128,0.502,50.325,0.254]","[2.629]"
